,Długość 20 okresów [s] dla r = 10.18mm,,,Długość 20 okresów [s] dla r = 12.57mm,,
#,Pom. 1,Pom. 2,Średnia,Pom. 1,Pom. 2,Średnia
d = r + 1cm,14.00,14.09,14.04,14.93,14.85,14.89
d = r + 2cm,14.84,14.93,14.88,16.53,16.38,16.45
d = r + 3cm,16.07,15.93,16.00,18.34,18.50,18.42
d = r + 4cm,17.38,17.28,17.33,20.53,20.53,20.53
d = r + 5cm,18.93,18.75,18.84,23.25,22.84,23.05
d = r + 6cm,20.65,20.35,20.50,25.44,25.41,25.43
d = r + 7cm,22.38,22.22,22.30,28.18,28.22,28.20
d = r + 8cm,23.68,23.72,23.70,31.19,31.13,31.16
d = r + 9cm,25.66,25.50,25.58,33.69,33.69,33.69
d = r + 10cm,27.78,27.79,27.79,36.78,36.47,36.63